dt_pos,dt_angle,dt,t,v
0, 0, 0.00028, 0.00028, 0
2, 0.00235619, 0.005407, 0.005687, 0.435767
15, 0.0176715, 0.005324, 0.011011, 3.31921
27, 0.0318086, 0.005357, 0.016368, 5.93777
35, 0.0412334, 0.005344, 0.021712, 7.71583
43, 0.0506582, 0.005328, 0.02704, 9.50792
53, 0.0624391, 0.005344, 0.032384, 11.684
60, 0.0706858, 0.00543, 0.037814, 13.0176
61, 0.0718639, 0.005349, 0.043163, 13.435
65, 0.0765763, 0.005326, 0.048489, 14.3778
72, 0.084823, 0.005323, 0.053812, 15.9352
76, 0.0895354, 0.005342, 0.059154, 16.7607
82, 0.0966039, 0.005456, 0.06461, 17.706
81, 0.0954259, 0.005327, 0.069937, 17.9136
85, 0.100138, 0.005319, 0.075256, 18.8265
87, 0.102494, 0.005344, 0.0806, 19.1794
87, 0.102494, 0.005394, 0.085994, 19.0016
90, 0.106029, 0.005322, 0.091316, 19.9227
94, 0.110741, 0.005301, 0.096617, 20.8906
91, 0.107207, 0.005336, 0.101953, 20.0912
95, 0.111919, 0.005305, 0.107258, 21.0969
102, 0.120166, 0.005323, 0.112581, 22.5749
98, 0.115454, 0.005317, 0.117898, 21.714
99, 0.116632, 0.00532, 0.123218, 21.9232
97, 0.114275, 0.005318, 0.128536, 21.4884
100, 0.11781, 0.005319, 0.133855, 22.1488
103, 0.121344, 0.005324, 0.139179, 22.7919
102, 0.120166, 0.00536, 0.144539, 22.419
106, 0.124878, 0.005328, 0.149867, 23.4381
108, 0.127234, 0.005324, 0.155191, 23.8983
104, 0.122522, 0.005324, 0.160515, 23.0132
106, 0.124878, 0.005319, 0.165834, 23.4778
109, 0.128412, 0.005327, 0.171161, 24.106
105, 0.1237, 0.005416, 0.176577, 22.8398
104, 0.122522, 0.00536, 0.181937, 22.8586
111, 0.130769, 0.005346, 0.187283, 24.4611
112, 0.131947, 0.00535, 0.192633, 24.663
107, 0.126056, 0.005333, 0.197966, 23.6371
108, 0.127234, 0.005353, 0.203319, 23.7688
110, 0.129591, 0.005346, 0.208665, 24.2407
109, 0.128412, 0.005331, 0.213996, 24.0879
109, 0.128413, 0.005316, 0.219312, 24.1559
109, 0.128413, 0.00539, 0.224702, 23.8243
114, 0.134303, 0.005317, 0.230019, 25.2592
114, 0.134303, 0.00534, 0.235359, 25.1504
108, 0.127234, 0.005309, 0.240668, 23.9658
113, 0.133125, 0.005331, 0.245999, 24.9718
113, 0.133125, 0.005342, 0.251341, 24.9204
111, 0.130769, 0.005308, 0.256649, 24.6362
112, 0.131947, 0.005341, 0.26199, 24.7046
109, 0.128413, 0.005354, 0.267344, 23.9844
112, 0.131947, 0.005313, 0.272657, 24.8348
118, 0.139015, 0.005463, 0.27812, 25.4467
111, 0.130769, 0.00536, 0.28348, 24.3972
106, 0.124878, 0.005332, 0.288812, 23.4206
117, 0.137837, 0.005329, 0.294141, 25.8655
117, 0.137837, 0.005287, 0.299428, 26.071
114, 0.134303, 0.005343, 0.304771, 25.1363
111, 0.130769, 0.005295, 0.310066, 24.6967
115, 0.135481, 0.005324, 0.31539, 25.4473
115, 0.135481, 0.005318, 0.320708, 25.4759
108, 0.127234, 0.005326, 0.326034, 23.8893
107, 0.126057, 0.005303, 0.331337, 23.7708
115, 0.135481, 0.005312, 0.336649, 25.5047
113, 0.133125, 0.005311, 0.34196, 25.066
112, 0.131947, 0.005327, 0.347287, 24.7694
113, 0.133125, 0.005326, 0.352613, 24.9954
115, 0.135481, 0.005349, 0.357962, 25.3283
112, 0.131947, 0.005345, 0.363307, 24.6861
112, 0.131947, 0.005318, 0.368625, 24.8114
111, 0.130769, 0.005329, 0.373954, 24.5391
114, 0.134303, 0.005348, 0.379302, 25.1128
118, 0.139015, 0.005309, 0.384611, 26.1848
110, 0.129591, 0.005318, 0.389929, 24.3684
113, 0.133125, 0.005337, 0.395266, 24.9438
113, 0.133124, 0.005342, 0.400608, 24.9203
112, 0.131948, 0.005339, 0.405947, 24.7139
121, 0.14255, 0.005604, 0.411551, 25.4371
107, 0.126057, 0.005282, 0.416833, 23.8653
111, 0.130769, 0.00534, 0.422173, 24.4885
119, 0.140193, 0.005311, 0.427484, 26.3967
117, 0.137837, 0.005291, 0.432775, 26.0513
111, 0.130769, 0.00534, 0.438115, 24.4885
113, 0.133125, 0.00537, 0.443485, 24.7906
114, 0.134303, 0.00533, 0.448815, 25.1976
112, 0.131947, 0.005307, 0.454122, 24.8627
117, 0.137837, 0.005337, 0.459459, 25.8268
112, 0.131947, 0.005367, 0.464826, 24.5848
113, 0.133125, 0.005331, 0.470157, 24.9719
115, 0.135481, 0.005312, 0.475469, 25.5047
106, 0.124879, 0.005336, 0.480805, 23.4031
113, 0.133124, 0.005319, 0.486124, 25.0281
119, 0.140194, 0.005336, 0.49146, 26.2732
115, 0.135481, 0.005392, 0.496852, 25.1263
115, 0.135482, 0.005353, 0.502205, 25.3095
119, 0.140193, 0.005307, 0.507512, 26.4166
119, 0.140194, 0.005519, 0.513031, 25.4021
106, 0.124878, 0.005365, 0.518396, 23.2764
112, 0.131948, 0.005329, 0.523725, 24.7603
119, 0.140193, 0.005328, 0.529053, 26.3125
116, 0.13666, 0.005293, 0.534346, 25.8189
111, 0.130769, 0.00532, 0.539666, 24.5806
115, 0.135481, 0.005382, 0.545048, 25.173
113, 0.133125, 0.005311, 0.550359, 25.066
114, 0.134303, 0.005275, 0.555634, 25.4603
113, 0.133125, 0.005327, 0.560961, 24.9907
111, 0.130769, 0.005312, 0.566273, 24.6176
116, 0.136659, 0.005313, 0.571586, 25.7216
112, 0.131948, 0.005311, 0.576897, 24.8442
112, 0.131947, 0.005329, 0.582226, 24.7601
113, 0.133125, 0.005343, 0.587569, 24.9158
116, 0.136659, 0.005357, 0.592926, 25.5103
114, 0.134303, 0.00532, 0.598246, 25.2449
112, 0.131948, 0.005351, 0.603597, 24.6585
