dt_pos,dt_angle,dt,t,v
0, 0, 0.000243, 0.000243, 0
0, 0, 0.005391, 0.005634, 0
12, 0.0141372, 0.005307, 0.010941, 2.66387
25, 0.0294524, 0.005279, 0.01622, 5.57917
33, 0.0388772, 0.00522, 0.02144, 7.44774
43, 0.0506582, 0.005245, 0.026685, 9.65838
54, 0.0636172, 0.005346, 0.032031, 11.9
57, 0.0671515, 0.005262, 0.037293, 12.7616
59, 0.0695077, 0.005247, 0.04254, 13.2471
65, 0.0765763, 0.005259, 0.047799, 14.561
73, 0.0860011, 0.005328, 0.053127, 16.1413
80, 0.0942478, 0.005688, 0.058815, 16.5696
78, 0.0918916, 0.005327, 0.064142, 17.2502
80, 0.0942478, 0.00535, 0.069492, 17.6164
88, 0.103673, 0.005368, 0.07486, 19.3131
86, 0.101316, 0.005321, 0.080181, 19.0409
82, 0.0966039, 0.005379, 0.08556, 17.9595
92, 0.108385, 0.005334, 0.090894, 20.3196
97, 0.114275, 0.005342, 0.096236, 21.3919
90, 0.106029, 0.005318, 0.101554, 19.9377
93, 0.109563, 0.005354, 0.106908, 20.4638
103, 0.121344, 0.005392, 0.1123, 22.5044
99, 0.116632, 0.005344, 0.117644, 21.8248
95, 0.111919, 0.005295, 0.122939, 21.1368
99, 0.116632, 0.005332, 0.128271, 21.8739
105, 0.1237, 0.005394, 0.133665, 22.9329
99, 0.116632, 0.005333, 0.138998, 21.8698
95, 0.111919, 0.005306, 0.144304, 21.093
110, 0.129591, 0.005341, 0.149645, 24.2633
109, 0.128413, 0.005345, 0.15499, 24.0248
102, 0.120166, 0.005335, 0.160325, 22.5241
110, 0.129591, 0.005398, 0.165723, 24.0072
110, 0.129591, 0.005347, 0.17107, 24.2362
102, 0.120166, 0.005318, 0.176388, 22.5961
106, 0.124878, 0.005305, 0.181693, 23.5398
111, 0.130769, 0.005386, 0.187079, 24.2794
109, 0.128412, 0.005313, 0.192392, 24.1695
107, 0.126056, 0.005332, 0.197724, 23.6415
111, 0.130769, 0.005303, 0.203027, 24.6594
112, 0.131947, 0.005349, 0.208376, 24.6676
107, 0.126056, 0.005371, 0.213747, 23.4698
109, 0.128413, 0.005326, 0.219073, 24.1105
111, 0.130769, 0.005304, 0.224377, 24.6547
114, 0.134303, 0.005348, 0.229725, 25.1128
111, 0.130769, 0.005321, 0.235046, 24.576
112, 0.131947, 0.005322, 0.240368, 24.7927
114, 0.134303, 0.005403, 0.245771, 24.8571
109, 0.128413, 0.005347, 0.251118, 24.0158
115, 0.135481, 0.005342, 0.25646, 25.3615
111, 0.130769, 0.005332, 0.261792, 24.5253
107, 0.126056, 0.00539, 0.267182, 23.387
116, 0.136659, 0.005335, 0.272517, 25.6156
119, 0.140194, 0.005312, 0.277829, 26.3919
116, 0.136659, 0.005337, 0.283166, 25.606
110, 0.129591, 0.005375, 0.288541, 24.1099
106, 0.124878, 0.005362, 0.293903, 23.2895
113, 0.133125, 0.005315, 0.299218, 25.047
119, 0.140194, 0.005317, 0.304535, 26.3671
112, 0.131947, 0.005345, 0.30988, 24.686
115, 0.135481, 0.00538, 0.31526, 25.1824
