dt_pos,dt_angle,dt,t,v
0, 0, 0.000249, 0.000249, 0
2, 0.00235619, 0.005416, 0.005665, 0.435043
14, 0.0164934, 0.005368, 0.011033, 3.07253
28, 0.0329867, 0.005595, 0.016628, 5.89575
35, 0.0412334, 0.005304, 0.021932, 7.77402
43, 0.0506582, 0.005337, 0.027269, 9.49189
52, 0.0612611, 0.005368, 0.032637, 11.4123
59, 0.0695077, 0.005412, 0.038049, 12.8433
60, 0.0706858, 0.005332, 0.043381, 13.2569
64, 0.0753982, 0.005359, 0.04874, 14.0695
72, 0.084823, 0.005332, 0.054072, 15.9083
79, 0.0930697, 0.005353, 0.059425, 17.3865
81, 0.0954258, 0.005325, 0.06475, 17.9203
80, 0.0942478, 0.005309, 0.070059, 17.7524
84, 0.0989602, 0.00534, 0.075399, 18.5319
90, 0.106029, 0.005335, 0.080734, 19.8742
85, 0.100138, 0.005343, 0.086077, 18.742
88, 0.103673, 0.005332, 0.091409, 19.4435
96, 0.113097, 0.005344, 0.096753, 21.1634
94, 0.110741, 0.005337, 0.10209, 20.7497
91, 0.107207, 0.005333, 0.107423, 20.1025
99, 0.116632, 0.005339, 0.112762, 21.8452
104, 0.122522, 0.0054, 0.118162, 22.6893
102, 0.120166, 0.005356, 0.123518, 22.4358
99, 0.116632, 0.005312, 0.12883, 21.9563
99, 0.116632, 0.005315, 0.134145, 21.9438
104, 0.122522, 0.00539, 0.139535, 22.7314
100, 0.11781, 0.005319, 0.144854, 22.1489
107, 0.126056, 0.005322, 0.150176, 23.6859
109, 0.128413, 0.005377, 0.155553, 23.8819
101, 0.118988, 0.005307, 0.16086, 22.4209
105, 0.1237, 0.00531, 0.16617, 23.2957
107, 0.126056, 0.00531, 0.17148, 23.7394
105, 0.1237, 0.005329, 0.176809, 23.2126
108, 0.127234, 0.00533, 0.182139, 23.8714
108, 0.127234, 0.005306, 0.187445, 23.9794
156, 0.183783, 0.007499, 0.194944, 24.5077
108, 0.127234, 0.005367, 0.200311, 23.7068
112, 0.131947, 0.005345, 0.205656, 24.686
114, 0.134303, 0.005334, 0.21099, 25.1787
102, 0.120166, 0.005391, 0.216381, 22.2901
106, 0.124878, 0.005305, 0.221686, 23.5398
116, 0.13666, 0.005296, 0.226982, 25.8043
113, 0.133125, 0.005319, 0.232301, 25.0282
109, 0.128413, 0.005327, 0.237628, 24.106
115, 0.135481, 0.005365, 0.242993, 25.2527
113, 0.133125, 0.00534, 0.248333, 24.9298
109, 0.128412, 0.00531, 0.253643, 24.1831
113, 0.133125, 0.005348, 0.258991, 24.8925
109, 0.128412, 0.005324, 0.264315, 24.1195
108, 0.127234, 0.005326, 0.269641, 23.8893
113, 0.133125, 0.005348, 0.274989, 24.8925
119, 0.140193, 0.005345, 0.280334, 26.2289
116, 0.136659, 0.005337, 0.285671, 25.606
107, 0.126057, 0.005332, 0.291003, 23.6415
109, 0.128412, 0.005343, 0.296346, 24.0337
118, 0.139016, 0.005393, 0.301739, 25.7771
120, 0.141372, 0.005329, 0.307068, 26.5288
113, 0.133125, 0.005321, 0.312389, 25.0188
109, 0.128413, 0.005343, 0.317732, 24.0338
111, 0.130769, 0.005423, 0.323155, 24.1137
112, 0.131947, 0.00532, 0.328475, 24.8021
114, 0.134303, 0.005305, 0.33378, 25.3163
111, 0.130769, 0.00533, 0.33911, 24.5345
112, 0.131947, 0.005304, 0.344414, 24.8768
114, 0.134303, 0.005324, 0.349738, 25.226
115, 0.135481, 0.005362, 0.3551, 25.2669
114, 0.134303, 0.005351, 0.360451, 25.0987
109, 0.128413, 0.005325, 0.365776, 24.1151
116, 0.136659, 0.005316, 0.371092, 25.7071
115, 0.135481, 0.005343, 0.376435, 25.3567
116, 0.13666, 0.005375, 0.38181, 25.425
116, 0.13666, 0.005332, 0.387142, 25.6301
106, 0.124878, 0.005313, 0.392455, 23.5042
107, 0.126057, 0.005347, 0.397802, 23.5752
119, 0.140193, 0.005383, 0.403185, 26.0437
114, 0.134303, 0.005321, 0.408506, 25.2402
104, 0.122522, 0.005309, 0.413815, 23.0782
110, 0.129591, 0.005332, 0.419147, 24.3044
122, 0.143727, 0.005331, 0.424478, 26.9607
118, 0.139016, 0.005361, 0.429839, 25.931
111, 0.130769, 0.005346, 0.435185, 24.4611
114, 0.134303, 0.005349, 0.440534, 25.1081
115, 0.135481, 0.005334, 0.445868, 25.3995
110, 0.129591, 0.005313, 0.451181, 24.3913
114, 0.134303, 0.005338, 0.456519, 25.1598
119, 0.140193, 0.005439, 0.461958, 25.7755
111, 0.130769, 0.00532, 0.467278, 24.5806
114, 0.134303, 0.005322, 0.4726, 25.2355
113, 0.133125, 0.00533, 0.47793, 24.9766
113, 0.133125, 0.005416, 0.483346, 24.58
