dt_pos,dt_angle,dt,t,v
0, 0, 0.000508, 0.000508, 0
5, 0.00589049, 0.005869, 0.006377, 1.00366
16, 0.0188496, 0.00542, 0.011797, 3.47778
28, 0.0329867, 0.005349, 0.017146, 6.1669
41, 0.048302, 0.005543, 0.022689, 8.71405
44, 0.0518363, 0.005394, 0.028083, 9.60999
52, 0.0612611, 0.00536, 0.033443, 11.4293
59, 0.0695077, 0.005391, 0.038834, 12.8933
65, 0.0765763, 0.005364, 0.044198, 14.276
68, 0.0801106, 0.00535, 0.049548, 14.9739
73, 0.0860011, 0.005331, 0.054879, 16.1323
78, 0.0918916, 0.005535, 0.060414, 16.6019
80, 0.0942478, 0.005344, 0.065758, 17.6362
83, 0.0977821, 0.005359, 0.071117, 18.2463
88, 0.103673, 0.005342, 0.076459, 19.4071
86, 0.101316, 0.005357, 0.081816, 18.9129
90, 0.106029, 0.005335, 0.087151, 19.8742
93, 0.109563, 0.005353, 0.092504, 20.4676
90, 0.106029, 0.005341, 0.097845, 19.8519
91, 0.107207, 0.005403, 0.103248, 19.8421
96, 0.113097, 0.005347, 0.108595, 21.1515
98, 0.115454, 0.005334, 0.113929, 21.6448
98, 0.115453, 0.00535, 0.119279, 21.5801
100, 0.11781, 0.005356, 0.124635, 21.9959
109, 0.128413, 0.005414, 0.130049, 23.7186
104, 0.122522, 0.005354, 0.135403, 22.8842
95, 0.111919, 0.005348, 0.140751, 20.9273
101, 0.118988, 0.005352, 0.146103, 22.2324
109, 0.128413, 0.005445, 0.151548, 23.5836
111, 0.130769, 0.00569, 0.157238, 22.9822
107, 0.126056, 0.005381, 0.162619, 23.4262
105, 0.1237, 0.005347, 0.167966, 23.1345
106, 0.124878, 0.005356, 0.173322, 23.3156
111, 0.130769, 0.005402, 0.178724, 24.2075
108, 0.127234, 0.005356, 0.18408, 23.7555
106, 0.124878, 0.005343, 0.189423, 23.3723
108, 0.127235, 0.005351, 0.194774, 23.7777
115, 0.135481, 0.005402, 0.200176, 25.0798
111, 0.130769, 0.005349, 0.205525, 24.4473
106, 0.124878, 0.005348, 0.210873, 23.3504
108, 0.127235, 0.005355, 0.216228, 23.76
108, 0.127234, 0.005349, 0.221577, 23.7866
111, 0.130769, 0.005355, 0.226932, 24.4199
113, 0.133125, 0.005348, 0.23228, 24.8925
114, 0.134303, 0.005353, 0.237633, 25.0893
111, 0.130769, 0.005343, 0.242976, 24.4748
114, 0.134303, 0.005351, 0.248327, 25.0987
114, 0.134303, 0.005347, 0.253674, 25.1175
109, 0.128413, 0.005365, 0.259039, 23.9353
114, 0.134303, 0.005353, 0.264392, 25.0893
114, 0.134303, 0.005325, 0.269717, 25.2212
108, 0.127234, 0.005398, 0.275115, 23.5707
112, 0.131947, 0.005337, 0.280452, 24.7231
118, 0.139015, 0.005358, 0.28581, 25.9454
116, 0.13666, 0.005342, 0.291152, 25.5821
111, 0.130769, 0.00535, 0.296502, 24.4428
109, 0.128412, 0.005405, 0.301907, 23.758
112, 0.131947, 0.005353, 0.30726, 24.6492
116, 0.136659, 0.005344, 0.312604, 25.5724
117, 0.137837, 0.005348, 0.317952, 25.7736
