dt_pos,dt_angle,dt,t,v
0, 0, 0.000253, 0.000253, 0
2, 0.00235619, 0.005399, 0.005652, 0.436413
15, 0.0176715, 0.005334, 0.010986, 3.31298
27, 0.0318086, 0.005337, 0.016323, 5.96002
37, 0.0435896, 0.005334, 0.021657, 8.17203
44, 0.0518363, 0.005347, 0.027004, 9.69446
51, 0.060083, 0.005317, 0.032321, 11.3002
58, 0.0683296, 0.005362, 0.037683, 12.7433
63, 0.0742201, 0.005328, 0.043011, 13.9302
66, 0.0777544, 0.005378, 0.048389, 14.4579
69, 0.0812887, 0.005331, 0.05372, 15.2483
78, 0.0918916, 0.005342, 0.059062, 17.2017
80, 0.0942478, 0.00531, 0.064372, 17.7491
83, 0.0977821, 0.005343, 0.069715, 18.301
84, 0.0989602, 0.005381, 0.075096, 18.3907
85, 0.100138, 0.005325, 0.080421, 18.8053
87, 0.102494, 0.005324, 0.085745, 19.2514
88, 0.103673, 0.005356, 0.091101, 19.3563
94, 0.110741, 0.005437, 0.096538, 20.3681
97, 0.114275, 0.005322, 0.10186, 21.4723
93, 0.109563, 0.005318, 0.107178, 20.6023
97, 0.114275, 0.005343, 0.112521, 21.3879
103, 0.121344, 0.005336, 0.117857, 22.7406
102, 0.120166, 0.005318, 0.123175, 22.5961
103, 0.121344, 0.005363, 0.128538, 22.6261
101, 0.118988, 0.00539, 0.133928, 22.0757
96, 0.113097, 0.005346, 0.139274, 21.1555
101, 0.118988, 0.005325, 0.144599, 22.3451
106, 0.124878, 0.005354, 0.149953, 23.3243
107, 0.126056, 0.005316, 0.155269, 23.7126
104, 0.122522, 0.005344, 0.160613, 22.927
107, 0.126056, 0.005338, 0.165951, 23.6149
107, 0.126056, 0.005349, 0.1713, 23.5663
106, 0.124878, 0.005389, 0.176689, 23.1728
107, 0.126056, 0.005321, 0.18201, 23.6904
106, 0.124878, 0.005283, 0.187293, 23.6377
110, 0.129591, 0.005341, 0.192634, 24.2634
110, 0.129591, 0.005323, 0.197957, 24.3454
106, 0.124878, 0.005331, 0.203288, 23.4249
110, 0.129591, 0.005332, 0.20862, 24.3043
111, 0.130769, 0.005326, 0.213946, 24.5529
107, 0.126057, 0.005332, 0.219278, 23.6415
108, 0.127234, 0.005332, 0.22461, 23.8624
116, 0.136659, 0.005333, 0.229943, 25.6252
116, 0.136659, 0.005381, 0.235324, 25.3966
110, 0.129591, 0.005351, 0.240675, 24.2181
107, 0.126056, 0.005316, 0.245991, 23.7126
111, 0.130769, 0.005311, 0.251302, 24.6222
113, 0.133125, 0.005349, 0.256651, 24.8879
113, 0.133125, 0.0053, 0.261951, 25.1179
109, 0.128413, 0.005293, 0.267244, 24.2609
110, 0.129591, 0.005345, 0.272589, 24.2452
113, 0.133125, 0.005334, 0.277923, 24.9578
121, 0.14255, 0.005314, 0.283237, 26.8254
115, 0.135481, 0.005416, 0.288653, 25.0149
104, 0.122522, 0.00534, 0.293993, 22.9443
115, 0.135481, 0.005327, 0.29932, 25.433
116, 0.136659, 0.005323, 0.304643, 25.6733
113, 0.133125, 0.005339, 0.309982, 24.9344
115, 0.135481, 0.005424, 0.315406, 24.9781
115, 0.135481, 0.005311, 0.320717, 25.5096
111, 0.130769, 0.005322, 0.326039, 24.5714
110, 0.129591, 0.00535, 0.331389, 24.2225
111, 0.130769, 0.005411, 0.3368, 24.1672
108, 0.127234, 0.005305, 0.342105, 23.9839
117, 0.137837, 0.005318, 0.347423, 25.919
117, 0.137837, 0.005351, 0.352774, 25.7592
112, 0.131947, 0.005371, 0.358145, 24.5666
117, 0.137837, 0.005316, 0.363461, 25.9288
125, 0.147262, 0.005896, 0.369357, 24.9766
111, 0.130769, 0.005316, 0.374673, 24.5991
114, 0.134303, 0.005334, 0.380007, 25.1786
117, 0.137837, 0.005316, 0.385323, 25.9288
115, 0.135482, 0.005309, 0.390632, 25.5193
106, 0.124878, 0.005347, 0.395979, 23.3548
112, 0.131947, 0.005427, 0.401406, 24.313
118, 0.139016, 0.00532, 0.406726, 26.1309
114, 0.134303, 0.005313, 0.412039, 25.2782
106, 0.124878, 0.005349, 0.417388, 23.346
115, 0.135481, 0.005385, 0.422773, 25.1589
120, 0.141372, 0.005343, 0.428116, 26.4592
113, 0.133125, 0.005304, 0.43342, 25.099
111, 0.130769, 0.005347, 0.438767, 24.4565
113, 0.133125, 0.005365, 0.444132, 24.8137
114, 0.134303, 0.005332, 0.449464, 25.1881
111, 0.130769, 0.005311, 0.454775, 24.6222
117, 0.137837, 0.005341, 0.460116, 25.8074
115, 0.135481, 0.005312, 0.465428, 25.5047
147, 0.173181, 0.006876, 0.472304, 25.1862
116, 0.136659, 0.005338, 0.477642, 25.6011
107, 0.126057, 0.005328, 0.48297, 23.6593
107, 0.126057, 0.005325, 0.488295, 23.6726
118, 0.139015, 0.005325, 0.49362, 26.1061
119, 0.140194, 0.005383, 0.499003, 26.0438
111, 0.130769, 0.005337, 0.50434, 24.5023
119, 0.140193, 0.005308, 0.509648, 26.4116
119, 0.140194, 0.005356, 0.515004, 26.1751
106, 0.124878, 0.00537, 0.520374, 23.2547
108, 0.127234, 0.005312, 0.525686, 23.9523
118, 0.139016, 0.005305, 0.530991, 26.2047
121, 0.14255, 0.005319, 0.53631, 26.8001
111, 0.130769, 0.005321, 0.541631, 24.576
108, 0.127234, 0.005328, 0.546959, 23.8803
118, 0.139015, 0.005387, 0.552346, 25.8057
115, 0.135482, 0.005315, 0.557661, 25.4905
111, 0.130769, 0.005311, 0.562972, 24.6222
112, 0.131947, 0.005318, 0.56829, 24.8113
118, 0.139015, 0.005287, 0.573577, 26.2938
113, 0.133125, 0.005278, 0.578855, 25.2227
