dt_pos,dt_angle,dt,t,v
114, 0.134308, 0.005308, 2.86173, 25.3029
116, 0.136658, 0.005288, 2.86701, 25.843
114, 0.1343, 0.005302, 2.87232, 25.3301
110, 0.129593, 0.005294, 2.87761, 24.4792
112, 0.131943, 0.005299, 2.88291, 24.8996
109, 0.128418, 0.005302, 2.88821, 24.2207
115, 0.135483, 0.005336, 2.89355, 25.3903
113, 0.133118, 0.005289, 2.89884, 25.1688
116, 0.136665, 0.0053, 2.90414, 25.7859
115, 0.135475, 0.005309, 2.90944, 25.518
109, 0.128418, 0.005303, 2.91475, 24.2161
106, 0.124878, 0.005288, 2.92004, 23.6153
117, 0.137833, 0.005306, 2.92534, 25.9768
119, 0.140198, 0.005349, 2.93069, 26.2101
112, 0.131943, 0.005327, 2.93602, 24.7687
117, 0.13784, 0.005288, 2.94131, 26.0666
115, 0.135483, 0.00527, 2.94658, 25.7083
105, 0.123695, 0.005288, 2.95186, 23.3917
106, 0.124886, 0.005289, 2.95715, 23.6123
115, 0.135475, 0.005339, 2.96249, 25.3746
117, 0.13784, 0.0053, 2.96779, 26.0076
114, 0.1343, 0.00532, 2.97311, 25.2444
113, 0.133125, 0.005337, 2.97845, 24.9438
115, 0.135483, 0.005408, 2.98386, 25.0523
117, 0.13784, 0.005458, 2.98931, 25.2547
115, 0.135475, 0.005395, 2.99471, 25.1112
115, 0.135483, 0.005384, 3.00009, 25.164
